,DESCRICAO
0,CEBOLA KG
2,1020-1200 #FRESA INICIAL ACCOLADE TMFZ
3,NAN COMFOR 2 400G - NESTLE
4,OLIGONUCLEOTIDEOS - IDT
5,CARTUCHO DE TONER COMPATÍVEL SAMSUNG CTL 406Y AMARELO
6,PNEU VEICULO AUTOMOTIVO 235/85 R16 RADIAL
7,TRIPÉ FOTOGRÁFICO PROFISSIONAL GREIKA NT-777
8,( HOSPFLEX - ENVELOPE 9 X 16 C/200 )
9,PAPA DE FRUTAS
10,ROTULA DA ESTRELA
11,PACOM DPF NOVO BRASAO - PROMASP
12,MÁQUINA DO VIDRO DA PORTA DIANT DIR
13,ARTHRO PIERCE 35 PARA CIMAE.16
14,MELANCIA
15,DIESEL S-10
16,VINAGRE DE ALCOOL COL CAST 750ML
17,CEBOLA BRANCA IN NATURA
18,255-05 - FORMAO LAMBOTTE RETO 6 MM X 23 CM
19,ADAPTADOR DO CABO FIBRA OTICA
20,"PAPEL FILTRO QUALI 50,0 CM 80 GRAMAS"
21,PÃO DE BRIOCHE 50G
22,PRANCHETA ACRILICO INCOLOR - ACRINIL
23,KIT_DA ESCOLA PARA O MUNDO - CIENCIAS - 1o E 2o ANO_PR
24,TRINCHA 2.1/2' 312 PINCEIS ROMA-
25,BATERIA ALCALINA A23 12V ELGIN
26,CEFALEXINA 250MG/5ML (50MG/ML) 100ML PO SUSP FR GEN ABL
27,Bandeja de Pintura P/ Rolo 23cm
28,TRINCHA 3 POLEGADAS
30,COL.MULTIVERSOS-LINGUAGENS_PNLD_21_V(3 4 6)
31,ADESIVO PARA USO GERAL (VEDA CALHA)
32,FITA DUPLA FACE VHB 3M 19X20 (MT)
34,CANULA ROSQ C/ OBTURADOR VERDE
35,IDENT EM ACAO UM MUN 0179P21201133IL
36,DESTILADOR DE AGUA SSDEST 5L 110V
37,PULVERIZADOR TRANSPARENTE PET NOBRE 500ML 35654
38,TAWMN2200S25
39,Trinco Da Porta
41,CORREIA ALTERNADOR
42,PRIMEX ARGAMASSA MEDIA - SC 25 KG
43,CANETA BAIXA ROTACAO 1:5. ITEM COMPRA: 271.
44,"EUP22512X -CATETER BALAO SEMI COMPLACENTE EUPHORA 2,25 X 12"
45,Lixeira Plastica Preto 15L
46,Rabanete
47,TORN.ELETR.PARE. BCA.220V 5500W EASY L&C
48,MARCA TEXTO AMARELO FLUORECENTE MASTERPRINT CX C/ 12 UN
49,"BOIA CAIXA DAGUA, 3/4"
50,1.36.35.03.19.012 - PARAFUSO CORTICAL O 3.5 X 12.0 MM COM SEXTAVADO TITANIO
51,OUTER CONTAINER 464.82MMX279.40MM
52,EXTRATO DE TOMATE BONARE 4KG
53,Gramatica historica do portugues euroupeu
54,RABANETE HIGIENIZADO KG
55,CATETER VENOSO CENTRAL 1LUMEN 7FRX20CM
56,Grampeador Metalico Frama Medio
57,"TAUARI - MED. FINAL 09CM X 1,10CM X 2 MT"
58,OVOS VERMELHO EMB CARMINATTI DZ
59,PALMITO
60,LIV - APIS MAIS - MATEMATICA - 1o ANO PNLD 2023 AL
62,DT PO BRILHANTE HIGIENE TOTAL 400G
63,GAS ONU 1075 GLP 21
64,CITRATO DE TAMOXIFENO 20MG GENERICO BLAU CX/30CPR
65,"322203 - PARAF.CANULADO ROSCA DUPLA 7,0 X120"
67,ALCOOL ETILICO 70 INPM 5L LIMPA MAIS
68,GASOLINA COMUM
69,"vinagre de maçã, embalagem com 500ml"
70,VELA AQUECEDORA
71,PCD LIBERADOR DE CARGA IQ TIPO 5
72,Parafusadeira Furadeira Impacto 18V TE-CD 18/48 LI SOLO Einhell
73,FRUTA MACA MEDIA KG
74,"RESINA FOTOPOLIMERIZAVEL FLOW A3,5 Data fabricacao: 29/10/2021"
75,AGUA MINERAL 20 LITROS
76,GRAVADOR DIG. DE VIDEO NVD 3316-PLUS
77,"Parafuso aço carbono zincado branco, cabeça sextavada, m12, comprimento 70 mm, rosca total"
78,SALGADOS DIVERSOS
79,QUADRO BRANCO CORTIARTE
80,Item Compra 0003 - Serviço Impressão de foto 56x46
81,OCLUSOR SEPTAL AMPLATZER 032 MM LOTE:6702346 RASTRO:000004412636
82,TAMPAO DE TESTE 20.0MM
83,LIV - DA ESCOLA PARA O MUNDO - MATEMATICA - 5o ANO PNLD 2023 AL
84,PE DE BRINCADEIRA PRE ESCOLA 4 E 5 ANOS E 11 MESES
85,FILTRO POLEN
86,FIO DE SUTURA ULTRABRAID N 2
87,ARCH - HBSAG QUALIT II REAG (100T) M/ABBOTT
88,BANCO PLS DOBRAVEL 58CM CORES    522         ANTARES
89,OVO DE GALINHA BRANCO
90,LIBRAS - QUE LINGUA E ESSA - PARABOLA
91,THINER 1 LITRO
92,5076-58 #ELETRODO CAPSURE FIX NOVUS 5076 58CM MRI SURESCAN
94,PINCA DISSEC MARYLAND 5X360 MM - LOTE: 03220720                       - ANVISA: 80082910088
95,ALFACE
96,CLORETO DE CALCIO 99% PA ACS  FR C/ 500G
97,"Item 55 - M378-500G -  Meio MIO (Meio motilidade indol ornitina), frasco com 500 gramas M378-500G (Himedia) L : 392808"
98,LINGUICA CALABRESA
100,PULSEIRA ADULTO/PEDIATRICA TYVEK YELLOW RMS:
101,TECENDO LINGUAGENS-LINGUA PORTUGUESA 0026P20012009IL
102,"Curva em pvc de 45o diametro de 100 mm, pn 60"
103,GRAMPO DE FIXACAO DO FEIXE DE MOLAS TRAS
105,avental descartavel tnt 40g
106,GASOLINA ORIGINAL IPIRANGA
107,COIFA LADO CAMBIO
109,OLEO SOJA
110,PROT FEM QUADRIL 135° COMP HASTE 225 X 2
111,FERMENTO EM PO EM C/100GR
112,"ENXAGUATORIO BUCAL 1L (CLINEXIDIN)0,12% Data fabricacao: 01/07/2021"
113,RASPA ACETABULAR NAO CIMENTADA - Diam.40M
114,CABECA COLO CURTO DESLOCADA 46MM 0210/0921
115,C-UTPT-1400-WAYNE-IMH CAT.DRENAGEM EXT. DISP.DRENAGEM PNEUMOTORAX - Lote: 14329303 - Val. 03/10/23 - Anvisa: 10212990219
117,FILTRO POLEN
118,BOLINHO INDIVIDUAL
119,FLANELA BRANCA 28X38CM ITATEX
120,LIV APIS LINGUA PORTUGUESA 4 ANO - BNCC AL
121,QUEIJO COALHO
122,MILHO A FIXAR
123,argamassa
124,ARQUIVO MORTO OF. FACIL POLIONDA VD. REF.042108
125,AGULHA DE LIMPEZA 01.0x250.0mm
126,JET A PRECO FIXO
127,WATER FORMULA C1
128,PONTEIRA COVATOR 20 ESTERIL PO
129,SACO P/LIXO 60L VERMELHO 3M 55X69 PRAPESO C/100UN
130,PRINCIPES NAO EXISTEM -  OLGA  - LIVRO 1
131,COLECAO CLASSICA MARVEL VOL.41 - HOMEM DE FERRO VOL.05 ***
132,HORTIFRUTIGRANJEIROS/CENOURA
133,SERINGA DESC.S/AG. 10ML L.LOCK - SR - J1321 - Val.:01/07/2027
134,NCEUP3020X -CATETER BALAO NC TROCA RAPIDA P/DILAT/ANGIO EUPHORA NC 3.00 x 20MM
135,ABACAXI IN NATURA.
136,"BRITA, MATERIAL ROCHA TRITURADA, BRITA 18"
137,CARNE AVE - CORAÇÃO DE FRANGO
138,LIV - APIS MAIS - LINGUA PORTUGUESA - 2o ANO PNLD 2023 AL
139,EDITORAS UNIVERSITARIAS NO BRASIL
140,1190-00 #RUGINA TIPO COBB 12MM INDUBEL
142,FILTRO DE AR ARL   2206
